"filename", "language", "Properties", "JavaScript", "JSON", "Groovy", "Batch", "C++", "XML", "Objective-C", "Java", "comment", "blank", "total"
"c:\Workspace\weatherapp\.eslintrc.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Workspace\weatherapp\.gitattributes", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Workspace\weatherapp\.prettierrc.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Workspace\weatherapp\.watchmanconfig", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Workspace\weatherapp\App.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 5, 24
"c:\Workspace\weatherapp\__tests__\App-test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"c:\Workspace\weatherapp\android\app\build.gradle", "Groovy", 0, 0, 0, 87, 0, 0, 0, 0, 0, 111, 23, 221
"c:\Workspace\weatherapp\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Workspace\weatherapp\android\app\src\debug\java\com\weatherapp\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 59, 8, 6, 73
"c:\Workspace\weatherapp\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\Workspace\weatherapp\android\app\src\main\java\com\weatherapp\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 4, 16
"c:\Workspace\weatherapp\android\app\src\main\java\com\weatherapp\MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 59, 13, 9, 81
"c:\Workspace\weatherapp\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Workspace\weatherapp\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 3, 10
"c:\Workspace\weatherapp\android\build.gradle", "Groovy", 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 4, 38
"c:\Workspace\weatherapp\android\gradle.properties", "Properties", 3, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 29
"c:\Workspace\weatherapp\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Workspace\weatherapp\android\gradlew.bat", "Batch", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 26, 104
"c:\Workspace\weatherapp\android\settings.gradle", "Groovy", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Workspace\weatherapp\app.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Workspace\weatherapp\babel.config.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Workspace\weatherapp\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"c:\Workspace\weatherapp\ios\weatherappTests\weatherappTests.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 15, 66
"c:\Workspace\weatherapp\ios\weatherapp\AppDelegate.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Workspace\weatherapp\ios\weatherapp\AppDelegate.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 11, 59
"c:\Workspace\weatherapp\ios\weatherapp\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
