Date : 2020-07-09 20:26:01
Directory : c:\Workspace\weatherapp
Total : 53 files,  13217 codes, 183 comments, 246 blanks, all 13646 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| JSON        |          6 |     12,252 |          0 |          3 |     12,255 |
| JavaScript  |         28 |        427 |         20 |        116 |        563 |
| Java        |          3 |        126 |         25 |         19 |        170 |
| Groovy      |          3 |        119 |        116 |         28 |        263 |
| Objective-C |          3 |        106 |          0 |         29 |        135 |
| XML         |          5 |         95 |          3 |         12 |        110 |
| Batch       |          1 |         78 |          0 |         26 |        104 |
| Properties  |          3 |          9 |         19 |          9 |         37 |
| C++         |          1 |          5 |          0 |          4 |          9 |
+-------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         53 |     13,217 |        183 |        246 |     13,646 |
| __tests__                                                                                 |          1 |          7 |          4 |          4 |         15 |
| android                                                                                   |         13 |        369 |        162 |         92 |        623 |
| android\app                                                                               |          8 |        251 |        138 |         53 |        442 |
| android\app\src                                                                           |          7 |        164 |         27 |         30 |        221 |
| android\app\src\debug                                                                     |          2 |         65 |          8 |          9 |         82 |
| android\app\src\debug\java                                                                |          1 |         59 |          8 |          6 |         73 |
| android\app\src\debug\java\com                                                            |          1 |         59 |          8 |          6 |         73 |
| android\app\src\debug\java\com\weatherapp                                                 |          1 |         59 |          8 |          6 |         73 |
| android\app\src\main                                                                      |          5 |         99 |         19 |         21 |        139 |
| android\app\src\main\java                                                                 |          2 |         67 |         17 |         13 |         97 |
| android\app\src\main\java\com                                                             |          2 |         67 |         17 |         13 |         97 |
| android\app\src\main\java\com\weatherapp                                                  |          2 |         67 |         17 |         13 |         97 |
| android\app\src\main\res                                                                  |          2 |          8 |          2 |          4 |         14 |
| android\app\src\main\res\values                                                           |          2 |          8 |          2 |          4 |         14 |
| android\gradle                                                                            |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                    |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                       |          7 |        212 |          1 |         35 |        248 |
| ios\weatherapp                                                                            |          6 |        161 |          1 |         20 |        182 |
| ios\weatherappTests                                                                       |          1 |         51 |          0 |         15 |         66 |
| ios\weatherapp\Images.xcassets                                                            |          2 |         44 |          0 |          1 |         45 |
| ios\weatherapp\Images.xcassets\AppIcon.appiconset                                         |          1 |         38 |          0 |          0 |         38 |
| src                                                                                       |         21 |        381 |          0 |         99 |        480 |
| src\api                                                                                   |          1 |         18 |          0 |          3 |         21 |
| src\components                                                                            |          7 |         63 |          0 |         20 |         83 |
| src\components\Button                                                                     |          2 |         26 |          0 |          6 |         32 |
| src\components\Header                                                                     |          2 |         15 |          0 |          5 |         20 |
| src\components\InputArea                                                                  |          2 |         18 |          0 |          6 |         24 |
| src\forms                                                                                 |          2 |         44 |          0 |         10 |         54 |
| src\forms\LoginForm                                                                       |          2 |         44 |          0 |         10 |         54 |
| src\navigation                                                                            |          1 |         64 |          0 |         14 |         78 |
| src\reducers                                                                              |          3 |        103 |          0 |         22 |        125 |
| src\screens                                                                               |          6 |         83 |          0 |         26 |        109 |
| src\screens\Home                                                                          |          2 |         26 |          0 |          7 |         33 |
| src\screens\Login                                                                         |          2 |         25 |          0 |          8 |         33 |
| src\screens\Profile                                                                       |          2 |         32 |          0 |         11 |         43 |
| src\store                                                                                 |          1 |          6 |          0 |          4 |         10 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
